project_name,id,type,fromDate,toDate, amount,cumulative
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),2,تعدیل,1402/04/01,1402/05/31,17059218058,23547115047
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),3,تعدیل,1402/06/01,1402/06/31,21974861586,45521976633
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),4,تعدیل,1402/07/01,1402/07/30,30879750250,76401726883
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),5,تعدیل,1402/08/01,1402/09/30,15972924376,92374651259
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),6,تعدیل,1402/10/01,1402/12/20,23520506785,115895158044
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),7,تعدیل,1402/12/21,1403/01/31,17905766584,133800924628
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),8,تعدیل,1403/02/01,1403/02/31,22303693952,156104618580
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),9,تعدیل,1403/03/01,1403/03/31,21545628811,177650247391
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),10,تعدیل,1403/04/01,1403/04/31,21025769448,198676016839
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),11,تعدیل,1403/05/01,1403/05/31,35978627408,234654644247
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),12,تعدیل,1403/06/01,1403/06/31,26825925106,261480569353
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),13,تعدیل,1403/07/01,1403/07/30,23396150449,284876719802
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),14,تعدیل,1403/08/01,1403/08/30,13429316984,298306036786
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),15,تعدیل,1403/09/01,1403/09/30,0,298306036786
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),16,تعدیل,1403/10/01,1403/12/30,23478272680,321784309466
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),17,تعدیل,1404/01/01,1404/03/31,32990723115,354775032581
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,1,تعدیل,1402/05/29,1402/09/30,40918602028,40918602028
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,2,تعدیل,1402/10/01,1402/10/30,78312278309,119230880337
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,3,تعدیل,1402/11/01,1402/11/30,30512211579,149743091916
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,4,تعدیل,1402/12/01,1403/02/31,44891954714,194635046630
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,5,تعدیل,1403/03/01,1403/04/31,15945892167,210580938797
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,6,تعدیل,1403/05/01,1403/06/31,42712026574,253292965371
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,7,تعدیل,1403/07/01,1403/07/30,17484157773,270777123144
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,8,تعدیل,1403/08/01,1403/08/30,73743636483,344520759627
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,9,تعدیل,1403/09/01,1403/10/30,104256340380,448777100007
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,10,تعدیل,1403/11/01,1403/11/30,49314607455,498091707462
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,11,تعدیل,1403/12/01,1404/01/31,83693877370,581785584832
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,12,تعدیل,1404/02/01,1404/05/31,151945032953,733730617785
